actor_loss,batch_reward,critic_loss_in,critic_loss_ood,critic_q1,critic_target_q,fps,frame,share_ratio_now,step,total_time,ucb_curr_actions_ood,ucb_current,ucb_next,ucb_next_actions_ood,ucb_ratio_ood
0.18390890955924988,0.2766742706298828,0.26767486333847046,0.5281767249107361,-0.11153112351894379,0.8344535827636719,95.92386511584677,0,1.5,0.0,10.424936294555664,0.3287484347820282,0.32493987679481506,0.3301626443862915,0.3299327790737152,3.0
-0.1569031714759767,0.2769211627244949,0.05162615025788546,0.037072204154916105,0.32473318958468733,0.5072768889069558,34.41401734109382,1000,1.4994994999999987,1000.0,39.482863426208496,0.058362318109720944,0.06259481786936522,0.06545515886694193,0.05836159799620509,2.9261595592038483
-0.1987497690320015,0.2768223389685154,0.050922270763665435,0.0317715646661818,0.4117520204484463,0.5380075005888939,34.26934985542062,2000,1.498499500000001,2000.0,68.66345834732056,0.06013883665949106,0.06272930996865034,0.06458187049627304,0.0601231805421412,2.783445594073607
-0.15535709977149964,0.2769390741288662,0.0509570248760283,0.028467278139665722,0.3582851891070604,0.5107394439578057,34.699150880497044,3000,1.4974995000000009,3000.0,97.48260807991028,0.0640154053941369,0.07023448187485337,0.06903757166862488,0.06397919277846813,2.647692040852256
-0.139541556507349,0.27693960988521577,0.057305617835372684,0.027278797842562198,0.36320331467688083,0.5363925159573555,34.78634043237299,4000,1.4964994999999994,4000.0,126.22952437400818,0.07127578332647681,0.08891869074851275,0.08264019704237581,0.07130136474221944,2.51855942796883
-0.1530014635398984,0.27689464911818507,0.06430876812338829,0.029668998021632434,0.41339870989322663,0.5611161841154099,34.78453792895167,5000,1.4954995000000004,5000.0,154.97793006896973,0.07408291234448552,0.09590353479981423,0.08843870097026228,0.07411529793962836,2.395724840479903
-0.19775852711498737,0.2768065364062786,0.06998040054738522,0.032408632267266514,0.4522609482705593,0.6142179519236087,34.572308239723135,6000,1.4944995000000003,6000.0,183.90281438827515,0.07381973257288336,0.09607168402522802,0.08803204930573702,0.07382824203744531,2.2788811125736492
-0.1921701280325651,0.2768954659998417,0.06723764341324567,0.03057990364357829,0.46128048679232597,0.6141606466472149,34.82067555981262,7000,1.4934995000000002,7000.0,212.62138485908508,0.0762047663629055,0.10013433503359556,0.0909002399891615,0.0762923517934978,2.1677360594568955
-0.1658784140944481,0.2767726269960403,0.06410335378721356,0.026062764395028352,0.4604848318696022,0.5918045274019241,34.719936665624566,8000,1.4924995000000003,8000.0,241.42328095436096,0.07556070037931203,0.09573150390386581,0.08646566074341536,0.07562119602039456,2.0620117467044237
-0.2123241904526949,0.2768664432168007,0.06627942037582397,0.026113865649327637,0.5065491846501827,0.6430603648424149,34.07692947033714,9000,1.4914995000000002,9000.0,270.76864862442017,0.07528526289016009,0.09671596650779248,0.08794020394235849,0.07526561603322625,1.9614437952433663
-0.20525995106995107,0.2768049950301647,0.06670463880896568,0.025140846664085986,0.5150205790698529,0.6389668439924717,28.08566839186597,10000,1.4904994999999992,10000.0,306.3739969730377,0.07645666161179543,0.09624169723689556,0.08840420538932085,0.07639565799385309,1.8657807202347552
-0.19870237249135972,0.2768018507957459,0.06342095785588026,0.023818156527355312,0.5292941244244576,0.6413502071797847,34.24664966667745,11000,1.4894995000000004,11000.0,335.57393407821655,0.07730253330618143,0.09391653046011925,0.0874947721734643,0.07732687974721193,1.7747833021989736
-0.24188698774576187,0.2767225798666477,0.06762839375808835,0.024240989016368984,0.5631459717750549,0.7026914035081864,33.8986187782813,12000,1.4884995000000005,12000.0,365.07366156578064,0.0772940770164132,0.09536909117549658,0.0882785469442606,0.07730993142724037,1.6882239888125683
-0.2743551747053862,0.2767481323182583,0.07524717324972152,0.027119970509782435,0.6142046524584294,0.7610991561412811,33.89184565863915,13000,1.4874995,13000.0,394.579283952713,0.08462919370085001,0.10147542564570904,0.0946207971945405,0.0846483079791069,1.6058863258804101
-0.2906289491057396,0.2768643944263458,0.07139778758957982,0.026082162922248246,0.6143907468616963,0.7720637697577476,33.94707472938397,14000,1.4864994999999992,14000.0,424.03690338134766,0.08710856058448553,0.10145199888199567,0.09547171100974083,0.08716781327873468,1.5275644160604327
-0.31862763637304303,0.2768035913109779,0.07584646021947265,0.02667312723957002,0.6411114675700664,0.8119227161407471,33.73619207722013,15000,1.4854994999999998,15000.0,453.6786606311798,0.09108532866090537,0.10472776903957129,0.09862344016134739,0.09113830990344286,1.4530624039872562
-0.3290634532570839,0.2768431741297245,0.07617937889695167,0.025188333520665764,0.6562975288629532,0.8165475537180901,33.681552376072936,16000,1.4844995000000005,16000.0,483.3685040473938,0.09319630960375071,0.10552822565287352,0.10027301062643527,0.09326802714914083,1.3821939865072734
-0.3992702658474445,0.2768873962759972,0.07562856502830982,0.025037661345675588,0.7128371267914771,0.8575462831258773,33.84974393604686,17000,1.4834994999999997,17000.0,512.9108254909515,0.09711836910247802,0.10971976000070571,0.10468557344377041,0.09706891329586506,1.314781946800423
-0.4172738795280457,0.2768580538034439,0.079251012429595,0.02510815742239356,0.7479686352014542,0.9029120089411735,33.86348151039364,18000,1.4824995,18000.0,542.4411623477936,0.10134704653918743,0.11412924118340015,0.109451626367867,0.1014065799638629,1.250657711223672
-0.5355292318463325,0.2768799452483654,0.08228041730076074,0.025236815685406328,0.8490863435268402,1.0420065662860871,33.88630991072752,19000,1.4814994999999997,19000.0,571.9516055583954,0.10483221903443336,0.11653501188755036,0.11170762427896261,0.104936389349401,1.1896609277680197
